Título,Descrição,Fama,Comando (se aplicável)
Top 1 da Semana,"Jogador com maior pontuação semanal.",,
Top 10 Mensal,"Entre os 10 membros que mais participaram de raids no mês.",,
Novato em Raids,"Participou de 1 raid.",,
Iniciante de Batalhas,"Participou de 5 raids.",,
Soldado de Elite,"Participou de 10 raids.",,
Veterano de Guerra,"Participou de 20 raids.",,
Lenda das Raids,"Participou de 50 raids.",,
Insano das Raids,"Participou de 100 raids.",,
Comandante,"Criou e liderou 10 raids com sucesso.",,
Organizador,"Ajudou na composição e organização de equipes.",,
